,year,race,home_owner_pct
0,1976,White,0.6775375823083613
1,1976,Black,0.4423821605020697
2,1976,Hispanic,0.4270691994572592
3,1977,White,0.675531345156305
4,1977,Black,0.4412294238683127
5,1977,Hispanic,0.4225900681596884
6,1978,White,0.6766516269758269
7,1978,Black,0.4454055409301742
8,1978,Hispanic,0.4261501210653753
9,1979,White,0.7019315575939319
10,1979,Black,0.4818993305231837
11,1979,Hispanic,0.4600425402613187
12,1980,White,0.705324590905237
13,1980,Black,0.4860237596086653
14,1980,Hispanic,0.4758414766558089
15,1981,White,0.705935552092609
16,1981,Black,0.4781281790437436
17,1981,Hispanic,0.4664618535586277
18,1982,White,0.7016267417118539
19,1982,Black,0.4720455306327419
20,1982,Hispanic,0.4653266331658292
21,1983,White,0.6761772020442185
22,1983,Black,0.4534544638851503
23,1983,Hispanic,0.4122399020807833
24,1984,White,0.672999354630526
25,1984,Black,0.4551754006063231
26,1984,Hispanic,0.4042995839112344
27,1985,White,0.6725387638062872
28,1985,Black,0.4414556962025316
29,1985,Hispanic,0.4110178169158304
30,1986,White,0.6662270162975344
31,1986,Black,0.44513626620394
32,1986,Hispanic,0.40571647803568
33,1987,White,0.6684048444697479
34,1987,Black,0.4540415238863132
35,1987,Hispanic,0.4056847545219638
36,1988,White,0.6715645668990302
37,1988,Black,0.4244060475161987
38,1988,Hispanic,0.4022464022464022
39,1989,White,0.673953395038503
40,1989,Black,0.4182369093835811
41,1989,Hispanic,0.415736040609137
42,1990,White,0.6748000948068311
43,1990,Black,0.4238985313751668
44,1990,Hispanic,0.4117647058823529
45,1991,White,0.6734388894378026
46,1991,Black,0.4241401930465748
47,1991,Hispanic,0.3895498392282958
48,1992,White,0.6748331802877258
49,1992,Black,0.422539023730037
50,1992,Hispanic,0.3992788838375921
51,1993,White,0.6812007358405516
52,1993,Black,0.4223413762287757
53,1993,Hispanic,0.400543314216722
54,1994,White,0.6782502093776931
55,1994,Black,0.4246963921638153
56,1994,Hispanic,0.4156479217603912
57,1995,White,0.6860647025806991
58,1995,Black,0.4193908193908194
59,1995,Hispanic,0.4237879767291532
60,1996,White,0.6896380352853475
61,1996,Black,0.4392329619072299
62,1996,Hispanic,0.4123945081244489
63,1997,White,0.6915905430348347
64,1997,Black,0.4550334461970435
65,1997,Hispanic,0.4307598784194529
66,1998,White,0.6973962325505771
67,1998,Black,0.4597562930896264
68,1998,Hispanic,0.4490104772991851
69,1999,White,0.7034582396917856
70,1999,Black,0.4549646235789808
71,1999,Hispanic,0.4520971302428256
72,2000,White,0.7080676620547274
73,2000,Black,0.4712428982800218
74,2000,Hispanic,0.4553063633437064
75,2001,White,0.7147950683105632
76,2001,Black,0.4768483376347351
77,2001,Hispanic,0.4558501096272673
78,2002,White,0.7184336472508326
79,2002,Black,0.4817123544874202
80,2002,Hispanic,0.4747118773216496
81,2003,White,0.720934038954662
82,2003,Black,0.4769402153731897
83,2003,Hispanic,0.4749096040215186
84,2004,White,0.7250929731845762
85,2004,Black,0.4906449482720669
86,2004,Hispanic,0.473742730071844
87,2005,White,0.7303832902670112
88,2005,Black,0.4912738069375045
89,2005,Hispanic,0.4929380850714403
90,2006,White,0.7238534854895927
91,2006,Black,0.4727896014855021
92,2006,Hispanic,0.4874990015176931
93,2007,White,0.7207116836492266
94,2007,Black,0.4816775811620454
95,2007,Hispanic,0.4930239728667231
96,2008,White,0.7185633779123559
97,2008,Black,0.4714452614940554
98,2008,Hispanic,0.4911912437214184
99,2009,White,0.7120685855798189
100,2009,Black,0.4641315519013361
101,2009,Hispanic,0.4780633147113594
102,2010,White,0.7101446239881033
103,2010,Black,0.4599456890699253
104,2010,Hispanic,0.4756354338998345
105,2011,White,0.706010009760555
106,2011,Black,0.4433016704880445
107,2011,Hispanic,0.4653494328576655
108,2012,White,0.6987129243843075
109,2012,Black,0.4328434832830649
110,2012,Hispanic,0.4611707655005195
111,2013,White,0.6944168670999437
112,2013,Black,0.4281123991935484
113,2013,Hispanic,0.4595354441395006
114,2014,White,0.6907763227675111
115,2014,Black,0.4275398406374502
116,2014,Hispanic,0.4535890692154724
117,2015,White,0.682
118,2015,Black,0.423
119,2015,Hispanic,0.456
120,2016,White,0.682
121,2016,Black,0.416
122,2016,Hispanic,0.46
